,nickname,region,rank,rank_rr,rank_rating,level,match,playtime_hours,damage_round,kill_death_ratio,headshot_rate,winrate,win,kast,damage_roun,kills,death,assist,acs,kad_ratio,kill_round_ratio,first_blood,flawless_round,aces,round_win,agent1,agent1_hours,matches1,win_rate1,k/d1,adr1,acs1,average_ddealt_round1,best_map1,map1_wr,agent2,agent2_hours,matches2,win_rate2,k/d2,adr2,acs2,average_ddealt_round2,best_map2,map2_wr,agent3,agent3_hours,matches3,win_rate3,k/d3,adr3,acs3,average_ddealt_round3,best_map3,map3_wr,role1,win_rate1.1,win_lose1,kda_rate1,kda1,role2,win_rate2.1,win_lose2,kda_rate2,kda2,role3,win_rate3.1,win_lose3,kda_rate3,kda3,role4,win_rate4,win_lose4,kda_rate4,kda4,weapon_name1,weapon_type1,head_rate1,body_rate1,legs_rate1,kills1,weapon_name2,weapon_type2,head_rate2,body_rate2,legs_rate2,kills2,weapon_name3,weapon_type3,head_rate3,body_rate3,legs_rate3,kills3,map_name1,win_rate1.2,win_lose1.1,map_name2,win_rate2.2,win_lose2.1,map_name3,win_rate3.2,win_lose3.1,map_name4,win_rate4.1,win_lose4.1,map_name5,win_rate5,win_lose5,map_name6,win_rate6,win_lose6,map_name7,win_rate7,win_lose7
8,BrngDeJuice KILL#HAPPY,na,Immortal 1,1.0,,501.0,61.0,30.0,139.9,0.96,28.1,57.4,35.0,72.1,1.0,851.0,883.0,344.0,209.1,1.35,0.7,120.0,58.0,1.0,51.3,Cypher,8.0,16.0,81.2,1.2,152.6,226.6,26.0,Fracture,100.0,Raze,3.6,7.0,42.9,0.97,156.9,228.1,14.0,Haven,50.0,Clove,3.5,6.0,83.3,0.92,148.5,227.1,16.0,Pearl,100.0,Duelist,57.1,8.6,1.25,195 / 211 / 68,Initiator,57.1,8.6,1.53,185 / 177 / 85,Sentinel,63.6,14.7,1.41,321 / 306 / 111,Controller,45.5,5.6,1.22,150 / 189 / 80,Vandal,Assault Rifles,45.0,51.0,4.0,494.0,Phantom,Assault Rifles,41.0,56.0,3.0,105.0,Sheriff,Sidearms,47.0,49.0,4.0,51.0,Fracture,88.9,8.1,Split,87.5,7.1,Pearl,85.7,6.1,Abyss,50.0,6.5,Lotus,36.4,4.7,Bind,28.6,2.5,Haven,28.6,2.5
9,sedated#colby,na,Immortal 1,1.0,,559.0,113.0,62.0,147.8,1.16,28.1,52.2,59.0,74.9,13.0,1929.0,1664.0,572.0,225.6,1.5,0.8,187.0,86.0,5.0,50.6,Iso,10.0,19.0,68.4,1.42,173.9,264.3,42.0,Haven,67.0,Yoru,8.4,15.0,66.7,1.15,140.6,213.6,7.0,Lotus,80.0,Clove,7.9,15.0,46.7,1.19,170.3,267.8,16.0,Lotus,75.0,Duelist,57.4,27.19,1.47,822 / 710 / 223,Sentinel,52.4,11.1,1.38,325 / 283 / 65,Initiator,43.5,10.13,1.47,360 / 330 / 125,Controller,50.0,11.11,1.7,422 / 341 / 159,Vandal,Assault Rifles,41.0,55.0,3.0,1036.0,Phantom,Assault Rifles,37.0,56.0,7.0,249.0,Sheriff,Sidearms,54.0,43.0,3.0,164.0,Haven,69.2,9.4,Abyss,59.1,13.8,Lotus,58.8,10.7,Split,56.2,9.7,Pearl,46.7,7.8,Bind,37.5,6.1,Fracture,35.7,5.9
10,SHAWARMA LUVR#PHAT,na,Ascendant 3,3.0,,626.0,190.0,102.0,139.8,0.94,28.0,49.5,94.0,71.9,6.0,2882.0,3066.0,1005.0,207.0,1.27,0.7,289.0,135.0,4.0,49.9,Clove,35.0,64.0,50.0,0.8,134.3,198.0,28.0,Lotus,62.0,Reyna,30.0,58.0,63.8,1.3,173.7,259.4,36.0,Lotus,73.0,Jett,8.0,14.0,57.1,1.02,141.8,207.4,13.0,Pearl,67.0,Duelist,61.0,47.27,1.49,"1,395 / 1,148 / 310",Sentinel,38.9,7.11,1.02,217 / 265 / 54,Controller,49.3,34.35,1.2,"998 / 1,261 / 513",Initiator,23.1,6.2,1.02,272 / 392 / 128,Vandal,Assault Rifles,40.0,57.0,3.0,1939.0,Sheriff,Sidearms,41.0,59.0,1.0,299.0,Phantom,Assault Rifles,35.0,62.0,3.0,179.0,Pearl,69.6,16.7,Lotus,54.5,18.15,Bind,54.2,13.11,Haven,48.3,14.14,Split,46.2,12.13,Fracture,42.3,11.14,Abyss,34.5,10.19
11,miantiao#baozi,na,Immortal 1,37.0,3270.0,526.0,130.0,71.0,138.5,1.05,28.6,47.7,62.0,69.2,5.0,2047.0,1957.0,544.0,213.3,1.32,0.7,393.0,110.0,1.0,50.3,Jett,41.0,76.0,48.7,1.04,139.2,215.7,4.0,Fracture,54.0,Vyse,10.0,18.0,38.9,1.04,135.9,203.5,10.0,Abyss,75.0,Cypher,4.8,9.0,44.4,0.94,119.7,181.6,0.0,Split,67.0,Sentinel,37.9,11.18,1.3,429 / 427 / 125,Initiator,44.4,4.5,1.48,140 / 132 / 55,Duelist,51.7,45.4,1.3,"1,383 / 1,310 / 318",Controller,40.0,2.3,1.6,95 / 88 / 46,Vandal,Assault Rifles,47.0,50.0,3.0,628.0,Phantom,Assault Rifles,45.0,53.0,3.0,346.0,Operator,Sniper Rifles,7.0,92.0,1.0,341.0,Split,56.2,9.6,Pearl,54.5,12.1,Fracture,52.6,10.9,Abyss,47.4,9.1,Bind,47.1,8.9,Lotus,39.1,9.13,Haven,35.7,5.9
12,orphic#222,na,Immortal 1,43.0,3068.0,412.0,125.0,68.0,153.1,1.13,35.5,52.8,66.0,75.2,16.0,2173.0,1915.0,674.0,228.9,1.49,0.8,217.0,91.0,2.0,51.1,Clove,25.0,47.0,55.3,1.17,166.3,251.1,17.0,Pearl,55.0,Sova,14.0,27.0,59.3,1.28,166.3,246.3,37.0,Bind,64.0,Gekko,11.0,22.0,50.0,1.01,131.0,192.8,4.0,Pearl,60.0,Initiator,54.9,28.23,1.52,821 / 724 / 276,Controller,55.3,26.21,1.56,880 / 755 / 299,Sentinel,38.5,5.8,1.24,200 / 201 / 49,Duelist,50.0,7.6,1.37,272 / 235 / 50,Vandal,Assault Rifles,48.0,51.0,2.0,1571.0,Sheriff,Sidearms,56.0,43.0,2.0,182.0,Ghost,Sidearms,48.0,49.0,3.0,145.0,Abyss,61.1,11.7,Pearl,60.0,12.7,Split,57.1,8.6,Lotus,53.3,8.7,Bind,52.6,10.9,Haven,47.1,8.9,Fracture,40.9,9.13
13,Bando#003,na,Immortal 1,41.0,3132.0,333.0,81.0,44.0,156.7,1.2,33.6,55.6,45.0,75.5,17.0,1508.0,1254.0,419.0,240.1,1.54,0.9,150.0,59.0,5.0,51.7,Clove,16.0,29.0,58.6,1.19,165.9,255.5,15.0,Haven,88.0,Reyna,8.5,16.0,62.5,1.21,151.6,229.5,16.0,Abyss,67.0,Deadlock,5.5,9.0,77.8,1.35,155.5,246.4,28.0,Pearl,100.0,Initiator,25.0,1.3,1.46,54 / 67 / 44,Sentinel,61.9,13.8,1.63,395 / 298 / 92,Duelist,51.9,14.13,1.41,467 / 392 / 86,Controller,58.6,17.11,1.59,592 / 497 / 197,Vandal,Assault Rifles,51.0,47.0,3.0,793.0,Phantom,Assault Rifles,44.0,50.0,6.0,167.0,Sheriff,Sidearms,60.0,39.0,1.0,117.0,Pearl,72.7,8.3,Bind,69.2,9.4,Haven,64.3,9.5,Abyss,54.5,6.5,Split,50.0,5.5,Lotus,40.0,4.5,Fracture,33.3,4.8
14,realm#aura,na,Immortal 1,11.0,4332.0,186.0,191.0,106.0,168.2,1.44,29.5,53.4,102.0,78.1,42.0,3677.0,2548.0,975.0,252.8,1.83,0.9,227.0,149.0,7.0,51.4,Clove,36.0,66.0,54.5,1.27,155.2,234.1,22.0,Haven,67.0,Reyna,24.0,43.0,58.1,1.72,188.6,284.1,65.0,Pearl,67.0,Raze,12.0,24.0,45.8,1.57,187.6,276.4,67.0,Lotus,57.0,Duelist,53.6,52.43,1.9,"1,970 / 1,230 / 365",Initiator,41.7,5.7,1.82,216 / 169 / 91,Controller,53.7,36.3,1.76,"1,212 / 966 / 484",Sentinel,60.0,9.6,1.72,279 / 183 / 35,Vandal,Assault Rifles,40.0,57.0,3.0,2386.0,Phantom,Assault Rifles,31.0,65.0,4.0,373.0,Ghost,Sidearms,39.0,58.0,2.0,282.0,Haven,64.3,18.1,Lotus,61.5,16.1,Abyss,59.3,16.11,Split,54.8,17.13,Bind,48.1,13.14,Fracture,44.0,11.12,Pearl,40.7,11.16
15,benzera#nen,na,Immortal 1,10.0,4348.0,305.0,25.0,14.0,144.1,1.18,27.9,60.0,15.0,75.0,14.0,439.0,371.0,113.0,221.8,1.49,0.8,49.0,23.0,0.0,52.7,Raze,3.6,6.0,66.7,1.49,178.1,278.2,48.0,Lotus,67.0,Tejo,2.2,4.0,75.0,0.97,117.2,189.0,15.0,Pearl,100.0,Deadlock,1.6,3.0,100.0,1.4,131.0,208.6,15.0,Bind,100.0,Sentinel,66.7,6.3,1.53,155 / 130 / 44,Duelist,57.1,4.2,1.61,162 / 112 / 18,Controller,0.0,0.1,1.4,20 / 20 / 8,Initiator,62.5,5.3,1.33,102 / 109 / 43,Vandal,Assault Rifles,42.0,56.0,2.0,189.0,Phantom,Assault Rifles,37.0,58.0,5.0,133.0,Classic,Sidearms,39.0,59.0,2.0,22.0,Bind,100.0,2.0,Pearl,100.0,2.0,Split,100.0,3.0,Haven,66.7,2.1,Lotus,60.0,3.2,Fracture,40.0,2.2,Abyss,20.0,1.4
16,4PF Hart#wock,na,Immortal 1,10.0,4356.0,462.0,40.0,19.0,135.9,0.99,27.8,57.5,23.0,73.0,5.0,564.0,567.0,235.0,209.8,1.41,0.7,73.0,35.0,0.0,53.1,Clove,6.3,12.0,50.0,0.89,144.2,222.5,16.0,Split,67.0,Cypher,2.5,5.0,40.0,0.85,114.3,165.5,19.0,Lotus,33.0,Reyna,1.4,3.0,66.7,0.83,105.3,164.2,35.0,Abyss,100.0,Controller,56.3,9.6,1.43,234 / 246 / 119,Sentinel,55.6,5.4,1.36,129 / 124 / 40,Duelist,62.5,5.3,1.45,142 / 125 / 39,Initiator,57.1,4.3,1.33,59 / 72 / 37,Vandal,Assault Rifles,46.0,48.0,7.0,342.0,Ghost,Sidearms,46.0,51.0,3.0,56.0,Phantom,Assault Rifles,25.0,67.0,8.0,42.0,Bind,80.0,4.1,Abyss,75.0,3.1,Split,71.4,5.1,Haven,50.0,3.3,Pearl,50.0,3.3,Lotus,50.0,3.3,Fracture,33.3,2.4
17,ArabicGhostHunt#Jinn,na,Immortal 1,80.0,2240.0,42.0,62.0,31.0,149.9,1.08,31.4,56.5,35.0,73.0,10.0,995.0,921.0,273.0,225.5,1.38,0.8,133.0,58.0,2.0,52.6,Jett,9.4,17.0,70.6,1.53,189.7,299.0,55.0,Bind,100.0,Clove,5.0,10.0,80.0,1.13,169.0,251.9,14.0,Abyss,100.0,Sova,3.7,9.0,11.1,0.52,99.9,136.2,48.0,Abyss,0.0,Initiator,16.7,2.1,0.87,83 / 164 / 60,Sentinel,76.9,10.3,1.32,160 / 162 / 54,Controller,72.7,8.3,1.51,194 / 173 / 68,Duelist,57.7,15.8,1.54,558 / 422 / 91,Vandal,Assault Rifles,47.0,50.0,3.0,579.0,Phantom,Assault Rifles,35.0,62.0,3.0,78.0,Ghost,Sidearms,52.0,46.0,2.0,72.0,Fracture,77.8,7.1,Pearl,66.7,6.3,Bind,66.7,6.3,Haven,62.5,5.2,Lotus,62.5,5.3,Split,33.3,3.6,Abyss,30.0,3.6
